1,hippocampus_head_med_1-rh
2,hippocampus_head_med_2-rh
3,hippocampus_head_lat_1-rh
4,hippocampus_head_lat_2-rh
5,thalamus_VAip-rh
6,thalamus_VAia-rh
7,caudate_DAi-rh
8,caudate_DAs-rh
9,hippocampus_body_med-rh
10,hippocampus_body_lat-rh
11,amygdala_SM-rh
12,amygdala_CL-rh
13,thalamus_DPl-rh
14,thalamus_DPm-rh
15,thalamus_VPm-rh
16,thalamus_VPl-rh
17,thalamus_VAs-rh
18,thalamus_DAm-rh
19,thalamus_DAl-rh
20,putamen_VA-rh
21,putamen_DA-rh
22,putamen_VP-rh
23,putamen_DP-rh
24,caudate_VA-rh
25,hippocampus_tail-rh
26,amygdala_lat-rh
27,GP_post-rh
28,GP_ant-rh
29,accumbens_shell-rh
30,accumbens_core-rh
31,caudate_post-rh
32,hippocampus_head_med_1-lh
33,hippocampus_head_med_2-lh
34,hippocampus_head_lat_1-lh
35,hippocampus_head_lat_2-lh
36,thalamus_VAip-lh
37,thalamus_VAia-lh
38,caudate_DAi-lh
39,caudate_DAs-lh
40,hippocampus_body_med-lh
41,hippocampus_body_lat-lh
42,amygdala_SM-lh
43,amygdala_CL-lh
44,thalamus_DPl-lh
45,thalamus_DPm-lh
46,thalamus_VPm-lh
47,thalamus_VPl-lh
48,thalamus_VAs-lh
49,thalamus_DAm-lh
50,thalamus_DAl-lh
51,putamen_VA-lh
52,putamen_DA-lh
53,putamen_VP-lh
54,putamen_DP-lh
55,caudate_VA-lh
56,hippocampus_tail-lh
57,amygdala_lat-lh
58,GP_post-lh
59,GP_ant-lh
60,accumbens_shell-lh
61,accumbens_core-lh
62,caudate_post-lh
