1,hippocampus_head_med-rh
2,hippocampus_head_lat-rh
3,hippocampus_body_med-rh
4,hippocampus_body_lat-rh
5,amygdala_SM-rh
6,amygdala_CL-rh
7,thalamus_DPl-rh
8,thalamus_DPm-rh
9,thalamus_VPm-rh
10,thalamus_VPl-rh
11,thalamus_VAi-rh
12,thalamus_VAs-rh
13,thalamus_DAm-rh
14,thalamus_DAl-rh
15,putamen_VA-rh
16,putamen_DA-rh
17,putamen_VP-rh
18,putamen_DP-rh
19,caudate_VA-rh
20,caudate_DA-rh
21,hippocampus_tail-rh
22,amygdala_lat-rh
23,GP_post-rh
24,GP_ant-rh
25,accumbens_shell-rh
26,accumbens_core-rh
27,caudate_post-rh
28,hippocampus_head_med-lh
29,hippocampus_head_lat-lh
30,hippocampus_body_med-lh
31,hippocampus_body_lat-lh
32,amygdala_SM-lh
33,amygdala_CL-lh
34,thalamus_DPl-lh
35,thalamus_DPm-lh
36,thalamus_VPm-lh
37,thalamus_VPl-lh
38,thalamus_VAi-lh
39,thalamus_VAs-lh
40,thalamus_DAm-lh
41,thalamus_DAl-lh
42,putamen_VA-lh
43,putamen_DA-lh
44,putamen_VP-lh
45,putamen_DP-lh
46,caudate_VA-lh
47,caudate_DA-lh
48,hippocampus_tail-lh
49,amygdala_lat-lh
50,GP_post-lh
51,GP_ant-lh
52,accumbens_shell-lh
53,accumbens_core-lh
54,caudate_post-lh
